run_id,stage_id,workflow_component,operating_area,item_id,model,planned_input_tokens,planned_output_tokens,measured_input_tokens,measured_output_tokens
TM_007-A001-00096,TM_007,Account review,Deployment tracking & outcome measurement,A001,Claude Haiku 4.5,3000,250,400,58
TM_007-A002-00097,TM_007,Account review,Deployment tracking & outcome measurement,A002,Claude Haiku 4.5,3000,250,397,56
TM_007-A003-00098,TM_007,Account review,Deployment tracking & outcome measurement,A003,Claude Haiku 4.5,3000,250,393,55
TM_007-A004-00099,TM_007,Account review,Deployment tracking & outcome measurement,A004,Claude Haiku 4.5,3000,250,378,51
TM_007-A005-00100,TM_007,Account review,Deployment tracking & outcome measurement,A005,Claude Haiku 4.5,3000,250,399,58
TM_007-A006-00101,TM_007,Account review,Deployment tracking & outcome measurement,A006,Claude Haiku 4.5,3000,250,400,58
TM_007-A008-00102,TM_007,Account review,Deployment tracking & outcome measurement,A008,Claude Haiku 4.5,3000,250,403,60
TM_007-A010-00103,TM_007,Account review,Deployment tracking & outcome measurement,A010,Claude Haiku 4.5,3000,250,400,58
TM_007-A012-00104,TM_007,Account review,Deployment tracking & outcome measurement,A012,Claude Haiku 4.5,3000,250,397,56
TM_007-A014-00105,TM_007,Account review,Deployment tracking & outcome measurement,A014,Claude Haiku 4.5,3000,250,398,57
TM_007-A015-00106,TM_007,Account review,Deployment tracking & outcome measurement,A015,Claude Haiku 4.5,3000,250,402,59
TM_007-A017-00107,TM_007,Account review,Deployment tracking & outcome measurement,A017,Claude Haiku 4.5,3000,250,403,59
TM_007-A018-00108,TM_007,Account review,Deployment tracking & outcome measurement,A018,Claude Haiku 4.5,3000,250,393,57
TM_008-A001-00109,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A001,text-embedding-3-small,3500,0,219,154
TM_008-A002-00110,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A002,text-embedding-3-small,3500,0,219,154
TM_008-A003-00111,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A003,text-embedding-3-small,3500,0,219,154
TM_008-A004-00112,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A004,text-embedding-3-small,3500,0,219,154
TM_008-A005-00113,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A005,text-embedding-3-small,3500,0,219,154
TM_008-A006-00114,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A006,text-embedding-3-small,3500,0,219,154
TM_008-A008-00115,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A008,text-embedding-3-small,3500,0,219,154
TM_008-A010-00116,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A010,text-embedding-3-small,3500,0,219,154
TM_008-A012-00117,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A012,text-embedding-3-small,3500,0,219,154
TM_008-A014-00118,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A014,text-embedding-3-small,3500,0,219,154
TM_008-A015-00119,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A015,text-embedding-3-small,3500,0,219,154
TM_008-A017-00120,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A017,text-embedding-3-small,3500,0,219,154
TM_008-A018-00121,TM_008,Prioritization,"Signal monitoring, context assembly & portfolio pattern detection",A018,text-embedding-3-small,3500,0,219,154
TM_009-A008-00122,TM_009,Prioritization,Prioritization & queue ranking,A008,Claude Haiku 4.5,4000,300,442,93
TM_009-A014-00123,TM_009,Prioritization,Prioritization & queue ranking,A014,Claude Haiku 4.5,4000,300,440,89
TM_009-A017-00124,TM_009,Prioritization,Prioritization & queue ranking,A017,Claude Haiku 4.5,4000,300,442,93
TM_009-A005-00125,TM_009,Prioritization,Prioritization & queue ranking,A005,Claude Haiku 4.5,4000,300,440,92
TM_009-A002-00126,TM_009,Prioritization,Prioritization & queue ranking,A002,Claude Haiku 4.5,4000,300,439,90
TM_009-A004-00127,TM_009,Prioritization,Prioritization & queue ranking,A004,Claude Haiku 4.5,4000,300,426,74
TM_009-A012-00128,TM_009,Prioritization,Prioritization & queue ranking,A012,Claude Haiku 4.5,4000,300,439,88
TM_009-A010-00129,TM_009,Prioritization,Prioritization & queue ranking,A010,Claude Haiku 4.5,4000,300,441,89
TM_009-A001-00130,TM_009,Prioritization,Prioritization & queue ranking,A001,Claude Haiku 4.5,4000,300,441,89
TM_009-A015-00131,TM_009,Prioritization,Prioritization & queue ranking,A015,Claude Haiku 4.5,4000,300,442,90
TM_009-A018-00132,TM_009,Prioritization,Prioritization & queue ranking,A018,Claude Haiku 4.5,4000,300,435,80
TM_009-A003-00133,TM_009,Prioritization,Prioritization & queue ranking,A003,Claude Haiku 4.5,4000,300,437,83
TM_009-A006-00134,TM_009,Prioritization,Prioritization & queue ranking,A006,Claude Haiku 4.5,4000,300,441,89
TM_010-A008-00135,TM_010,Prioritization,Synthesis & recommendation,A008,GPT-5.4,7000,900,429,82
TM_010-A014-00136,TM_010,Prioritization,Synthesis & recommendation,A014,GPT-5.4,7000,900,429,80
TM_010-A017-00137,TM_010,Prioritization,Synthesis & recommendation,A017,GPT-5.4,7000,900,429,82
TM_010-A005-00138,TM_010,Prioritization,Synthesis & recommendation,A005,GPT-5.4,7000,900,429,83
TM_010-A002-00139,TM_010,Prioritization,Synthesis & recommendation,A002,GPT-5.4,7000,900,429,82
TM_010-A004-00140,TM_010,Prioritization,Synthesis & recommendation,A004,GPT-5.4,7000,900,429,79
TM_010-A012-00141,TM_010,Prioritization,Synthesis & recommendation,A012,GPT-5.4,7000,900,429,79
TM_010-A010-00142,TM_010,Prioritization,Synthesis & recommendation,A010,GPT-5.4,7000,900,429,79
TM_010-A001-00143,TM_010,Prioritization,Synthesis & recommendation,A001,GPT-5.4,7000,900,429,79
TM_010-A015-00144,TM_010,Prioritization,Synthesis & recommendation,A015,GPT-5.4,7000,900,429,79
TM_010-A018-00145,TM_010,Prioritization,Synthesis & recommendation,A018,GPT-5.4,7000,900,429,76
TM_010-A003-00146,TM_010,Prioritization,Synthesis & recommendation,A003,GPT-5.4,7000,900,429,76
TM_010-A006-00147,TM_010,Prioritization,Synthesis & recommendation,A006,GPT-5.4,7000,900,429,79
TM_010-A016-00148,TM_010,Prioritization,Synthesis & recommendation,A016,GPT-5.4,7000,900,429,79
TM_010-A011-00149,TM_010,Prioritization,Synthesis & recommendation,A011,GPT-5.4,7000,900,429,76
TM_010-A009-00150,TM_010,Prioritization,Synthesis & recommendation,A009,GPT-5.4,7000,900,429,79
TM_010-A007-00151,TM_010,Prioritization,Synthesis & recommendation,A007,GPT-5.4,7000,900,429,76
TM_010-A013-00152,TM_010,Prioritization,Synthesis & recommendation,A013,GPT-5.4,7000,900,429,76
TM_011-A002-00153,TM_011,Prioritization,"Routing, handoff & escalation",A002,Claude Haiku 4.5,3500,350,487,65
TM_011-A004-00154,TM_011,Prioritization,"Routing, handoff & escalation",A004,Claude Haiku 4.5,3500,350,483,55
TM_011-A005-00155,TM_011,Prioritization,"Routing, handoff & escalation",A005,Claude Haiku 4.5,3500,350,499,74
TM_011-A008-00156,TM_011,Prioritization,"Routing, handoff & escalation",A008,Claude Haiku 4.5,3500,350,508,83
TM_011-A014-00157,TM_011,Prioritization,"Routing, handoff & escalation",A014,Claude Haiku 4.5,3500,350,495,66
TM_011-A017-00158,TM_011,Prioritization,"Routing, handoff & escalation",A017,Claude Haiku 4.5,3500,350,496,74
TM_012-T001-00159,TM_012,Inbound issue handling,"Intake, classification & triage",A008,Claude Haiku 4.5,4500,450,594,172
TM_012-T002-00160,TM_012,Inbound issue handling,"Intake, classification & triage",A002,Claude Haiku 4.5,4500,450,594,160
TM_012-T003-00161,TM_012,Inbound issue handling,"Intake, classification & triage",A014,Claude Haiku 4.5,4500,450,590,159
TM_012-T004-00162,TM_012,Inbound issue handling,"Intake, classification & triage",A010,Claude Haiku 4.5,4500,450,590,146
TM_012-T005-00163,TM_012,Inbound issue handling,"Intake, classification & triage",A012,Claude Haiku 4.5,4500,450,588,153
TM_012-T006-00164,TM_012,Inbound issue handling,"Intake, classification & triage",A017,Claude Haiku 4.5,4500,450,588,174
TM_012-T007-00165,TM_012,Inbound issue handling,"Intake, classification & triage",A005,Claude Haiku 4.5,4500,450,587,153
TM_012-T008-00166,TM_012,Inbound issue handling,"Intake, classification & triage",A004,Claude Haiku 4.5,4500,450,588,154
TM_012-T009-00167,TM_012,Inbound issue handling,"Intake, classification & triage",A015,Claude Haiku 4.5,4500,450,587,143
TM_012-T010-00168,TM_012,Inbound issue handling,"Intake, classification & triage",A001,Claude Haiku 4.5,4500,450,588,163
TM_012-T011-00169,TM_012,Inbound issue handling,"Intake, classification & triage",A006,Claude Haiku 4.5,4500,450,581,143
TM_012-T012-00170,TM_012,Inbound issue handling,"Intake, classification & triage",A003,Claude Haiku 4.5,4500,450,584,149
TM_013-T001-00171,TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",T001,text-embedding-3-small,5000,0,163,91
TM_013-T002-00172,TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",T002,text-embedding-3-small,5000,0,163,91
TM_013-T003-00173,TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",T003,text-embedding-3-small,5000,0,163,91
TM_013-T004-00174,TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",T004,text-embedding-3-small,5000,0,163,91
TM_013-T005-00175,TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",T005,text-embedding-3-small,5000,0,163,91
TM_013-T006-00176,TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",T006,text-embedding-3-small,5000,0,163,91
TM_013-T007-00177,TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",T007,text-embedding-3-small,5000,0,163,91
TM_013-T008-00178,TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",T008,text-embedding-3-small,5000,0,163,91
TM_013-T009-00179,TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",T009,text-embedding-3-small,5000,0,163,91
TM_013-T010-00180,TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",T010,text-embedding-3-small,5000,0,163,91
TM_013-T011-00181,TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",T011,text-embedding-3-small,5000,0,163,91
TM_013-T012-00182,TM_013,Inbound issue handling,"Signal monitoring, context assembly & portfolio pattern detection",T012,text-embedding-3-small,5000,0,163,91
TM_014-T001-00183,TM_014,Inbound issue handling,Synthesis & recommendation,A008,Claude Sonnet 4.6,10000,1800,596,172
TM_014-T002-00184,TM_014,Inbound issue handling,Synthesis & recommendation,A002,Claude Sonnet 4.6,10000,1800,596,160
TM_014-T003-00185,TM_014,Inbound issue handling,Synthesis & recommendation,A014,Claude Sonnet 4.6,10000,1800,592,159
TM_014-T004-00186,TM_014,Inbound issue handling,Synthesis & recommendation,A010,Claude Sonnet 4.6,10000,1800,592,146
TM_014-T005-00187,TM_014,Inbound issue handling,Synthesis & recommendation,A012,Claude Sonnet 4.6,10000,1800,590,153
TM_014-T006-00188,TM_014,Inbound issue handling,Synthesis & recommendation,A017,Claude Sonnet 4.6,10000,1800,589,174
TM_014-T007-00189,TM_014,Inbound issue handling,Synthesis & recommendation,A005,Claude Sonnet 4.6,10000,1800,588,153
TM_014-T008-00190,TM_014,Inbound issue handling,Synthesis & recommendation,A004,Claude Sonnet 4.6,10000,1800,589,154
TM_014-T009-00191,TM_014,Inbound issue handling,Synthesis & recommendation,A015,Claude Sonnet 4.6,10000,1800,588,143
TM_014-T010-00192,TM_014,Inbound issue handling,Synthesis & recommendation,A001,Claude Sonnet 4.6,10000,1800,590,163
TM_014-T011-00193,TM_014,Inbound issue handling,Synthesis & recommendation,A006,Claude Sonnet 4.6,10000,1800,583,143
TM_014-T012-00194,TM_014,Inbound issue handling,Synthesis & recommendation,A003,Claude Sonnet 4.6,10000,1800,586,149
TM_015-T001-00195,TM_015,Inbound issue handling,"Routing, handoff & escalation",T001,Claude Haiku 4.5,5000,500,493,73
TM_015-T002-00196,TM_015,Inbound issue handling,"Routing, handoff & escalation",T002,Claude Haiku 4.5,5000,500,492,75
TM_015-T003-00197,TM_015,Inbound issue handling,"Routing, handoff & escalation",T003,Claude Haiku 4.5,5000,500,493,70
TM_015-T004-00198,TM_015,Inbound issue handling,"Routing, handoff & escalation",T004,Claude Haiku 4.5,5000,500,492,69
TM_015-T005-00199,TM_015,Inbound issue handling,"Routing, handoff & escalation",T005,Claude Haiku 4.5,5000,500,491,68
TM_015-T006-00200,TM_015,Inbound issue handling,"Routing, handoff & escalation",T006,Claude Haiku 4.5,5000,500,492,75
TM_015-T007-00201,TM_015,Inbound issue handling,"Routing, handoff & escalation",T007,Claude Haiku 4.5,5000,500,492,73
TM_015-T008-00202,TM_015,Inbound issue handling,"Routing, handoff & escalation",T008,Claude Haiku 4.5,5000,500,492,69
TM_015-T009-00203,TM_015,Inbound issue handling,"Routing, handoff & escalation",T009,Claude Haiku 4.5,5000,500,492,69
TM_015-T010-00204,TM_015,Inbound issue handling,"Routing, handoff & escalation",T010,Claude Haiku 4.5,5000,500,494,71
TM_015-T011-00205,TM_015,Inbound issue handling,"Routing, handoff & escalation",T011,Claude Haiku 4.5,5000,500,491,68
TM_015-T012-00206,TM_015,Inbound issue handling,"Routing, handoff & escalation",T012,Claude Haiku 4.5,5000,500,491,70
TM_016-integration_sync-00207,TM_016,Inbound issue handling,Intervention design,integration_sync,GPT-5.4,14000,2200,468,180
TM_016-onboarding_mobile-00208,TM_016,Inbound issue handling,Intervention design,onboarding_mobile,GPT-5.4,14000,2200,469,181
TM_016-reporting_dashboard-00209,TM_016,Inbound issue handling,Intervention design,reporting_dashboard,GPT-5.4,14000,2200,470,184
TM_017-C001-00210,TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",C001,text-embedding-3-small,7000,0,172,101
TM_017-C002-00211,TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",C002,text-embedding-3-small,7000,0,172,101
TM_017-C003-00212,TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",C003,text-embedding-3-small,7000,0,172,101
TM_017-C004-00213,TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",C004,text-embedding-3-small,7000,0,172,101
TM_017-C005-00214,TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",C005,text-embedding-3-small,7000,0,172,101
TM_017-C006-00215,TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",C006,text-embedding-3-small,7000,0,172,101
TM_017-C007-00216,TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",C007,text-embedding-3-small,7000,0,172,101
TM_017-C008-00217,TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",C008,text-embedding-3-small,7000,0,172,101
TM_017-C009-00218,TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",C009,text-embedding-3-small,7000,0,172,101
TM_017-C010-00219,TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",C010,text-embedding-3-small,7000,0,172,101
TM_017-C011-00220,TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",C011,text-embedding-3-small,7000,0,172,101
TM_017-C012-00221,TM_017,Customer check-in support,"Signal monitoring, context assembly & portfolio pattern detection",C012,text-embedding-3-small,7000,0,172,101
TM_018-C001-00222,TM_018,Customer check-in support,Customer check-in & communication support,A008,Claude Sonnet 4.6,18000,3000,436,156
TM_018-C002-00223,TM_018,Customer check-in support,Customer check-in & communication support,A005,Claude Sonnet 4.6,18000,3000,431,160
TM_018-C003-00224,TM_018,Customer check-in support,Customer check-in & communication support,A014,Claude Sonnet 4.6,18000,3000,430,154
TM_018-C004-00225,TM_018,Customer check-in support,Customer check-in & communication support,A003,Claude Sonnet 4.6,18000,3000,430,154
TM_018-C005-00226,TM_018,Customer check-in support,Customer check-in & communication support,A006,Claude Sonnet 4.6,18000,3000,432,152
TM_018-C006-00227,TM_018,Customer check-in support,Customer check-in & communication support,A010,Claude Sonnet 4.6,18000,3000,434,150
TM_018-C007-00228,TM_018,Customer check-in support,Customer check-in & communication support,A017,Claude Sonnet 4.6,18000,3000,430,144
TM_018-C008-00229,TM_018,Customer check-in support,Customer check-in & communication support,A015,Claude Sonnet 4.6,18000,3000,432,144
TM_018-C009-00230,TM_018,Customer check-in support,Customer check-in & communication support,A012,Claude Sonnet 4.6,18000,3000,425,141
TM_018-C010-00231,TM_018,Customer check-in support,Customer check-in & communication support,A018,Claude Sonnet 4.6,18000,3000,429,133
TM_018-C011-00232,TM_018,Customer check-in support,Customer check-in & communication support,A001,Claude Sonnet 4.6,18000,3000,429,144
