run_id,stage_id,planned_cost,measured_cost,adjusted_measured_cost,retry_rate,qa_eval_multiplier,variance_pct,review_flag
TM_005-A002-00076,TM_005,0.063,0.005304,0.008768,0.14,1.45,-91.58,High variance: estimate too conservative
TM_005-A004-00077,TM_005,0.063,0.004944,0.008172,0.14,1.45,-92.15,High variance: estimate too conservative
TM_005-A012-00078,TM_005,0.063,0.00501,0.008282,0.14,1.45,-92.05,High variance: estimate too conservative
TM_005-A010-00079,TM_005,0.063,0.005346,0.008837,0.14,1.45,-91.51,High variance: estimate too conservative
TM_005-A001-00080,TM_005,0.063,0.005355,0.008852,0.14,1.45,-91.5,High variance: estimate too conservative
TM_005-A015-00081,TM_005,0.063,0.00522,0.008629,0.14,1.45,-91.71,High variance: estimate too conservative
TM_005-A018-00082,TM_005,0.063,0.005013,0.008286,0.14,1.45,-92.04,High variance: estimate too conservative
TM_005-A003-00083,TM_005,0.063,0.004914,0.008123,0.14,1.45,-92.2,High variance: estimate too conservative
TM_005-A006-00084,TM_005,0.063,0.005052,0.008351,0.14,1.45,-91.98,High variance: estimate too conservative
TM_005-A016-00085,TM_005,0.063,0.00447,0.007389,0.14,1.45,-92.9,High variance: estimate too conservative
TM_005-A011-00086,TM_005,0.063,0.004359,0.007205,0.14,1.45,-93.08,High variance: estimate too conservative
TM_005-A009-00087,TM_005,0.063,0.004365,0.007215,0.14,1.45,-93.07,High variance: estimate too conservative
TM_005-A007-00088,TM_005,0.063,0.004557,0.007533,0.14,1.45,-92.77,High variance: estimate too conservative
TM_005-A013-00089,TM_005,0.063,0.004371,0.007225,0.14,1.45,-93.06,High variance: estimate too conservative
TM_006-A002-00090,TM_006,0.006,0.000813,0.001054,0.08,1.2,-86.45,High variance: estimate too conservative
TM_006-A004-00091,TM_006,0.006,0.000759,0.000984,0.08,1.2,-87.35,High variance: estimate too conservative
TM_006-A005-00092,TM_006,0.006,0.000869,0.001126,0.08,1.2,-85.52,High variance: estimate too conservative
TM_006-A008-00093,TM_006,0.006,0.000923,0.001196,0.08,1.2,-84.62,High variance: estimate too conservative
TM_006-A014-00094,TM_006,0.006,0.000825,0.001069,0.08,1.2,-86.25,High variance: estimate too conservative
TM_006-A017-00095,TM_006,0.006,0.000867,0.001124,0.08,1.2,-85.55,High variance: estimate too conservative
TM_007-A001-00096,TM_007,0.00425,0.00069,0.000811,0.05,1.12,-83.76,High variance: estimate too conservative
TM_007-A002-00097,TM_007,0.00425,0.000677,0.000796,0.05,1.12,-84.07,High variance: estimate too conservative
TM_007-A003-00098,TM_007,0.00425,0.000668,0.000786,0.05,1.12,-84.28,High variance: estimate too conservative
TM_007-A004-00099,TM_007,0.00425,0.000633,0.000744,0.05,1.12,-85.11,High variance: estimate too conservative
TM_007-A005-00100,TM_007,0.00425,0.000689,0.00081,0.05,1.12,-83.79,High variance: estimate too conservative
TM_007-A006-00101,TM_007,0.00425,0.00069,0.000811,0.05,1.12,-83.76,High variance: estimate too conservative
TM_007-A008-00102,TM_007,0.00425,0.000703,0.000827,0.05,1.12,-83.46,High variance: estimate too conservative
TM_007-A010-00103,TM_007,0.00425,0.00069,0.000811,0.05,1.12,-83.76,High variance: estimate too conservative
TM_007-A012-00104,TM_007,0.00425,0.000677,0.000796,0.05,1.12,-84.07,High variance: estimate too conservative
TM_007-A014-00105,TM_007,0.00425,0.000683,0.000803,0.05,1.12,-83.93,High variance: estimate too conservative
TM_007-A015-00106,TM_007,0.00425,0.000697,0.00082,0.05,1.12,-83.6,High variance: estimate too conservative
TM_007-A017-00107,TM_007,0.00425,0.000698,0.000821,0.05,1.12,-83.58,High variance: estimate too conservative
TM_007-A018-00108,TM_007,0.00425,0.000678,0.000797,0.05,1.12,-84.05,High variance: estimate too conservative
TM_008-A001-00109,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_008-A002-00110,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_008-A003-00111,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_008-A004-00112,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_008-A005-00113,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_008-A006-00114,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_008-A008-00115,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_008-A010-00116,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_008-A012-00117,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_008-A014-00118,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_008-A015-00119,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_008-A017-00120,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_008-A018-00121,TM_008,7e-05,4e-06,5e-06,0.02,1.02,-93.74,High variance: estimate too conservative
TM_009-A008-00122,TM_009,0.0055,0.000907,0.001154,0.06,1.2,-83.51,High variance: estimate too conservative
TM_009-A014-00123,TM_009,0.0055,0.000885,0.001126,0.06,1.2,-83.91,High variance: estimate too conservative
TM_009-A017-00124,TM_009,0.0055,0.000907,0.001154,0.06,1.2,-83.51,High variance: estimate too conservative
TM_009-A005-00125,TM_009,0.0055,0.0009,0.001145,0.06,1.2,-83.64,High variance: estimate too conservative
TM_009-A002-00126,TM_009,0.0055,0.000889,0.001131,0.06,1.2,-83.84,High variance: estimate too conservative
TM_009-A004-00127,TM_009,0.0055,0.000796,0.001013,0.06,1.2,-85.53,High variance: estimate too conservative
TM_009-A012-00128,TM_009,0.0055,0.000879,0.001118,0.06,1.2,-84.02,High variance: estimate too conservative
TM_009-A010-00129,TM_009,0.0055,0.000886,0.001127,0.06,1.2,-83.89,High variance: estimate too conservative
TM_009-A001-00130,TM_009,0.0055,0.000886,0.001127,0.06,1.2,-83.89,High variance: estimate too conservative
TM_009-A015-00131,TM_009,0.0055,0.000892,0.001135,0.06,1.2,-83.78,High variance: estimate too conservative
TM_009-A018-00132,TM_009,0.0055,0.000835,0.001062,0.06,1.2,-84.82,High variance: estimate too conservative
TM_009-A003-00133,TM_009,0.0055,0.000852,0.001084,0.06,1.2,-84.51,High variance: estimate too conservative
TM_009-A006-00134,TM_009,0.0055,0.000886,0.001127,0.06,1.2,-83.89,High variance: estimate too conservative
TM_010-A008-00135,TM_010,0.031,0.002302,0.003293,0.1,1.3,-92.57,High variance: estimate too conservative
TM_010-A014-00136,TM_010,0.031,0.002273,0.00325,0.1,1.3,-92.67,High variance: estimate too conservative
TM_010-A017-00137,TM_010,0.031,0.002302,0.003293,0.1,1.3,-92.57,High variance: estimate too conservative
TM_010-A005-00138,TM_010,0.031,0.002318,0.003314,0.1,1.3,-92.52,High variance: estimate too conservative
TM_010-A002-00139,TM_010,0.031,0.002302,0.003293,0.1,1.3,-92.57,High variance: estimate too conservative
TM_010-A004-00140,TM_010,0.031,0.002257,0.003228,0.1,1.3,-92.72,High variance: estimate too conservative
TM_010-A012-00141,TM_010,0.031,0.002257,0.003228,0.1,1.3,-92.72,High variance: estimate too conservative
TM_010-A010-00142,TM_010,0.031,0.002257,0.003228,0.1,1.3,-92.72,High variance: estimate too conservative
TM_010-A001-00143,TM_010,0.031,0.002257,0.003228,0.1,1.3,-92.72,High variance: estimate too conservative
TM_010-A015-00144,TM_010,0.031,0.002257,0.003228,0.1,1.3,-92.72,High variance: estimate too conservative
TM_010-A018-00145,TM_010,0.031,0.002213,0.003164,0.1,1.3,-92.86,High variance: estimate too conservative
TM_010-A003-00146,TM_010,0.031,0.002213,0.003164,0.1,1.3,-92.86,High variance: estimate too conservative
TM_010-A006-00147,TM_010,0.031,0.002257,0.003228,0.1,1.3,-92.72,High variance: estimate too conservative
TM_010-A016-00148,TM_010,0.031,0.002257,0.003228,0.1,1.3,-92.72,High variance: estimate too conservative
TM_010-A011-00149,TM_010,0.031,0.002213,0.003164,0.1,1.3,-92.86,High variance: estimate too conservative
TM_010-A009-00150,TM_010,0.031,0.002257,0.003228,0.1,1.3,-92.72,High variance: estimate too conservative
TM_010-A007-00151,TM_010,0.031,0.002213,0.003164,0.1,1.3,-92.86,High variance: estimate too conservative
TM_010-A013-00152,TM_010,0.031,0.002213,0.003164,0.1,1.3,-92.86,High variance: estimate too conservative
TM_011-A002-00153,TM_011,0.00525,0.000812,0.001016,0.06,1.18,-84.53,High variance: estimate too conservative
TM_011-A004-00154,TM_011,0.00525,0.000758,0.000948,0.06,1.18,-85.56,High variance: estimate too conservative
TM_011-A005-00155,TM_011,0.00525,0.000869,0.001087,0.06,1.18,-83.45,High variance: estimate too conservative
TM_011-A008-00156,TM_011,0.00525,0.000923,0.001154,0.06,1.18,-82.42,High variance: estimate too conservative
TM_011-A014-00157,TM_011,0.00525,0.000825,0.001032,0.06,1.18,-84.29,High variance: estimate too conservative
TM_011-A017-00158,TM_011,0.00525,0.000866,0.001083,0.06,1.18,-83.5,High variance: estimate too conservative
TM_012-T001-00159,TM_012,0.00675,0.001454,0.001884,0.08,1.2,-78.46,High variance: estimate too conservative
TM_012-T002-00160,TM_012,0.00675,0.001394,0.001807,0.08,1.2,-79.35,High variance: estimate too conservative
TM_012-T003-00161,TM_012,0.00675,0.001385,0.001795,0.08,1.2,-79.48,High variance: estimate too conservative
TM_012-T004-00162,TM_012,0.00675,0.00132,0.001711,0.08,1.2,-80.44,High variance: estimate too conservative
TM_012-T005-00163,TM_012,0.00675,0.001353,0.001753,0.08,1.2,-79.96,High variance: estimate too conservative
TM_012-T006-00164,TM_012,0.00675,0.001458,0.00189,0.08,1.2,-78.4,High variance: estimate too conservative
TM_012-T007-00165,TM_012,0.00675,0.001352,0.001752,0.08,1.2,-79.97,High variance: estimate too conservative
TM_012-T008-00166,TM_012,0.00675,0.001358,0.00176,0.08,1.2,-79.88,High variance: estimate too conservative
TM_012-T009-00167,TM_012,0.00675,0.001302,0.001687,0.08,1.2,-80.71,High variance: estimate too conservative
TM_012-T010-00168,TM_012,0.00675,0.001403,0.001818,0.08,1.2,-79.21,High variance: estimate too conservative
TM_012-T011-00169,TM_012,0.00675,0.001296,0.00168,0.08,1.2,-80.8,High variance: estimate too conservative
TM_012-T012-00170,TM_012,0.00675,0.001329,0.001722,0.08,1.2,-80.31,High variance: estimate too conservative
TM_013-T001-00171,TM_013,0.0001,3e-06,4e-06,0.03,1.05,-96.74,High variance: estimate too conservative
TM_013-T002-00172,TM_013,0.0001,3e-06,4e-06,0.03,1.05,-96.74,High variance: estimate too conservative
TM_013-T003-00173,TM_013,0.0001,3e-06,4e-06,0.03,1.05,-96.74,High variance: estimate too conservative
TM_013-T004-00174,TM_013,0.0001,3e-06,4e-06,0.03,1.05,-96.74,High variance: estimate too conservative
TM_013-T005-00175,TM_013,0.0001,3e-06,4e-06,0.03,1.05,-96.74,High variance: estimate too conservative
TM_013-T006-00176,TM_013,0.0001,3e-06,4e-06,0.03,1.05,-96.74,High variance: estimate too conservative
TM_013-T007-00177,TM_013,0.0001,3e-06,4e-06,0.03,1.05,-96.74,High variance: estimate too conservative
TM_013-T008-00178,TM_013,0.0001,3e-06,4e-06,0.03,1.05,-96.74,High variance: estimate too conservative
TM_013-T009-00179,TM_013,0.0001,3e-06,4e-06,0.03,1.05,-96.74,High variance: estimate too conservative
TM_013-T010-00180,TM_013,0.0001,3e-06,4e-06,0.03,1.05,-96.74,High variance: estimate too conservative
TM_013-T011-00181,TM_013,0.0001,3e-06,4e-06,0.03,1.05,-96.74,High variance: estimate too conservative
TM_013-T012-00182,TM_013,0.0001,3e-06,4e-06,0.03,1.05,-96.74,High variance: estimate too conservative
TM_014-T001-00183,TM_014,0.057,0.004368,0.007032,0.15,1.4,-92.34,High variance: estimate too conservative
TM_014-T002-00184,TM_014,0.057,0.004188,0.006743,0.15,1.4,-92.65,High variance: estimate too conservative
TM_014-T003-00185,TM_014,0.057,0.004161,0.006699,0.15,1.4,-92.7,High variance: estimate too conservative
TM_014-T004-00186,TM_014,0.057,0.003966,0.006385,0.15,1.4,-93.04,High variance: estimate too conservative
TM_014-T005-00187,TM_014,0.057,0.004065,0.006545,0.15,1.4,-92.87,High variance: estimate too conservative
TM_014-T006-00188,TM_014,0.057,0.004377,0.007047,0.15,1.4,-92.32,High variance: estimate too conservative
TM_014-T007-00189,TM_014,0.057,0.004059,0.006535,0.15,1.4,-92.88,High variance: estimate too conservative
TM_014-T008-00190,TM_014,0.057,0.004077,0.006564,0.15,1.4,-92.85,High variance: estimate too conservative
TM_014-T009-00191,TM_014,0.057,0.003909,0.006293,0.15,1.4,-93.14,High variance: estimate too conservative
TM_014-T010-00192,TM_014,0.057,0.004215,0.006786,0.15,1.4,-92.61,High variance: estimate too conservative
TM_014-T011-00193,TM_014,0.057,0.003894,0.006269,0.15,1.4,-93.17,High variance: estimate too conservative
TM_014-T012-00194,TM_014,0.057,0.003993,0.006429,0.15,1.4,-92.99,High variance: estimate too conservative
TM_015-T001-00195,TM_015,0.0075,0.000858,0.00118,0.1,1.25,-88.56,High variance: estimate too conservative
TM_015-T002-00196,TM_015,0.0075,0.000867,0.001192,0.1,1.25,-88.44,High variance: estimate too conservative
TM_015-T003-00197,TM_015,0.0075,0.000843,0.001159,0.1,1.25,-88.76,High variance: estimate too conservative
TM_015-T004-00198,TM_015,0.0075,0.000837,0.001151,0.1,1.25,-88.84,High variance: estimate too conservative
TM_015-T005-00199,TM_015,0.0075,0.000831,0.001143,0.1,1.25,-88.92,High variance: estimate too conservative
TM_015-T006-00200,TM_015,0.0075,0.000867,0.001192,0.1,1.25,-88.44,High variance: estimate too conservative
TM_015-T007-00201,TM_015,0.0075,0.000857,0.001178,0.1,1.25,-88.57,High variance: estimate too conservative
TM_015-T008-00202,TM_015,0.0075,0.000837,0.001151,0.1,1.25,-88.84,High variance: estimate too conservative
TM_015-T009-00203,TM_015,0.0075,0.000837,0.001151,0.1,1.25,-88.84,High variance: estimate too conservative
TM_015-T010-00204,TM_015,0.0075,0.000849,0.001167,0.1,1.25,-88.68,High variance: estimate too conservative
TM_015-T011-00205,TM_015,0.0075,0.000831,0.001143,0.1,1.25,-88.92,High variance: estimate too conservative
TM_015-T012-00206,TM_015,0.0075,0.000841,0.001156,0.1,1.25,-88.79,High variance: estimate too conservative
TM_016-integration_sync-00207,TM_016,0.068,0.00387,0.006453,0.15,1.45,-94.31,High variance: estimate too conservative
TM_016-onboarding_mobile-00208,TM_016,0.068,0.003887,0.006482,0.15,1.45,-94.28,High variance: estimate too conservative
TM_016-reporting_dashboard-00209,TM_016,0.068,0.003935,0.006562,0.15,1.45,-94.21,High variance: estimate too conservative
TM_017-C001-00210,TM_017,0.00014,3e-06,4e-06,0.03,1.05,-97.54,High variance: estimate too conservative
TM_017-C002-00211,TM_017,0.00014,3e-06,4e-06,0.03,1.05,-97.54,High variance: estimate too conservative
TM_017-C003-00212,TM_017,0.00014,3e-06,4e-06,0.03,1.05,-97.54,High variance: estimate too conservative
TM_017-C004-00213,TM_017,0.00014,3e-06,4e-06,0.03,1.05,-97.54,High variance: estimate too conservative
TM_017-C005-00214,TM_017,0.00014,3e-06,4e-06,0.03,1.05,-97.54,High variance: estimate too conservative
TM_017-C006-00215,TM_017,0.00014,3e-06,4e-06,0.03,1.05,-97.54,High variance: estimate too conservative
TM_017-C007-00216,TM_017,0.00014,3e-06,4e-06,0.03,1.05,-97.54,High variance: estimate too conservative
TM_017-C008-00217,TM_017,0.00014,3e-06,4e-06,0.03,1.05,-97.54,High variance: estimate too conservative
TM_017-C009-00218,TM_017,0.00014,3e-06,4e-06,0.03,1.05,-97.54,High variance: estimate too conservative
TM_017-C010-00219,TM_017,0.00014,3e-06,4e-06,0.03,1.05,-97.54,High variance: estimate too conservative
TM_017-C011-00220,TM_017,0.00014,3e-06,4e-06,0.03,1.05,-97.54,High variance: estimate too conservative
TM_017-C012-00221,TM_017,0.00014,3e-06,4e-06,0.03,1.05,-97.54,High variance: estimate too conservative
TM_018-C001-00222,TM_018,0.099,0.003648,0.006083,0.15,1.45,-96.32,High variance: estimate too conservative
TM_018-C002-00223,TM_018,0.099,0.003693,0.006158,0.15,1.45,-96.27,High variance: estimate too conservative
TM_018-C003-00224,TM_018,0.099,0.0036,0.006003,0.15,1.45,-96.36,High variance: estimate too conservative
TM_018-C004-00225,TM_018,0.099,0.0036,0.006003,0.15,1.45,-96.36,High variance: estimate too conservative
TM_018-C005-00226,TM_018,0.099,0.003576,0.005963,0.15,1.45,-96.39,High variance: estimate too conservative
TM_018-C006-00227,TM_018,0.099,0.003552,0.005923,0.15,1.45,-96.41,High variance: estimate too conservative
TM_018-C007-00228,TM_018,0.099,0.00345,0.005753,0.15,1.45,-96.52,High variance: estimate too conservative
TM_018-C008-00229,TM_018,0.099,0.003456,0.005763,0.15,1.45,-96.51,High variance: estimate too conservative
TM_018-C009-00230,TM_018,0.099,0.00339,0.005653,0.15,1.45,-96.58,High variance: estimate too conservative
TM_018-C010-00231,TM_018,0.099,0.003282,0.005473,0.15,1.45,-96.68,High variance: estimate too conservative
TM_018-C011-00232,TM_018,0.099,0.003447,0.005748,0.15,1.45,-96.52,High variance: estimate too conservative
TM_018-C012-00233,TM_018,0.099,0.003507,0.005848,0.15,1.45,-96.46,High variance: estimate too conservative
TM_019-C001-00234,TM_019,0.062,0.003413,0.00516,0.12,1.35,-94.5,High variance: estimate too conservative
TM_019-C002-00235,TM_019,0.062,0.003463,0.005235,0.12,1.35,-94.42,High variance: estimate too conservative
TM_019-C003-00236,TM_019,0.062,0.00337,0.005095,0.12,1.35,-94.56,High variance: estimate too conservative
TM_019-C004-00237,TM_019,0.062,0.003367,0.005092,0.12,1.35,-94.57,High variance: estimate too conservative
TM_019-C005-00238,TM_019,0.062,0.003345,0.005058,0.12,1.35,-94.6,High variance: estimate too conservative
TM_019-C006-00239,TM_019,0.062,0.00332,0.00502,0.12,1.35,-94.65,High variance: estimate too conservative
TM_019-C007-00240,TM_019,0.062,0.00322,0.004869,0.12,1.35,-94.81,High variance: estimate too conservative
TM_019-C008-00241,TM_019,0.062,0.003225,0.004876,0.12,1.35,-94.8,High variance: estimate too conservative
TM_019-C009-00242,TM_019,0.062,0.003163,0.004782,0.12,1.35,-94.9,High variance: estimate too conservative
TM_019-C010-00243,TM_019,0.062,0.003053,0.004615,0.12,1.35,-95.08,High variance: estimate too conservative
TM_019-C011-00244,TM_019,0.062,0.003217,0.004865,0.12,1.35,-94.81,High variance: estimate too conservative
TM_019-C012-00245,TM_019,0.062,0.003277,0.004956,0.12,1.35,-94.71,High variance: estimate too conservative
TM_020-C001-00246,TM_020,0.00675,0.000893,0.001117,0.06,1.18,-86.77,High variance: estimate too conservative
TM_020-C003-00247,TM_020,0.00675,0.000877,0.001097,0.06,1.18,-87.01,High variance: estimate too conservative
TM_020-C007-00248,TM_020,0.00675,0.000875,0.001094,0.06,1.18,-87.04,High variance: estimate too conservative
TM_020-C002-00249,TM_020,0.00675,0.000893,0.001117,0.06,1.18,-86.77,High variance: estimate too conservative
